AAREAL BANK AG	AARBESM1XXX
CAJA R. DEL SUR, S. COOP. DE CREDITO	BCOEESMM187
CAJA R. LA JUNQUERA DE CHILCHES, S.C.C.V.	BCOEESMM157
CAJA R. NTRA. SRA. DEL ROSARIO, S.C.A.C.	BCOEESMM098
CAJA R. NTRA. SRA. LA ESPERANZA DE ONDA, S.C.C.V.	BCOEESMM134
CAJA R. ‘NUESTRA MADRE DEL SOL’, S.C.A.C.	BCOEESMM115
CAJA R. S. FORTUNATO, S.C.C.C.L.	BCOEESMM161
CAJA R. S. ISIDRO DE VILAFAMES, S.C.C.V.	BCOEESMM165
CAJA R. S. JAIME ALQUERIAS NIÑO PERDIDO S.C.C.V.	BCOEESMM119
CAJA R. S. JOSE DE ALCORA S.C.C.V.	BCOEESMM113
CAJA R. S. JOSE DE ALMASSORA, S.C.C.V.	BCOEESMM130
CAJA R. S. JOSE DE BURRIANA, S.C.C.V.	BCOEESMM112
CAJA R. S. JOSE DE NULES S.C.C.V.	BCOEESMM135
CAJA R. S. ROQUE DE ALMENARA S.C.C.V.	BCOEESMM095
CAJA R.R.S.AGUSTIN DE FUENTE ALAMO M., S.C.C.	BCOEESMM018
CAJAMAR CAJA RURAL, S.C.C.	CCRIES2AXXX
CAJASIETE, CAJA RURAL, S.C.C.	BCOEESMM076
CALYON, S.E.	BSUIESMMXXX
CASSA RISPARMIO PROVINCIE LOMBARDE(CARIPLO)SPA,S.E	CARIESMMXXX
CELERIS SERVICIOS FINANCIEROS, S.A., E.F.C.	CSFAESM1XXX
CITIBANK ESPAÑA, S.A.	CITIES2XXXX
CITIBANK INTERNATIONAL PLC, S.E.	CITIESMXXXX
COLONYA – CAIXA D’ESTALVIS DE POLLENSA	CECAESMM056
COMMERZBANK AKTIENGESELLSCHAFT, S.E.	COBAESMXXXX
COMPAGNIE BANCAIRE, SUCURSAL EN ESPAÑA	COBFFRPPXXX
CONFEDERACION ESPAÑOLA DE CAJAS DE AHORROS	CECAESMMXXX
COOP.CENTR. RAIFFEISEN-BOERENL.(RABOBANK NED.)S.E.	PRABESMMXXX
CREDIT AGRICOLE LEASING, S.E.	UCSSESM1XXX
CREDIT COMMERCIAL DE FRANCE, S.E.	CCFRESMMXXX
CREDIT LYONNAIS ESPAÑA, S.A.	CRLEESMMXXX
CREDIT SUISSE FIRST BOSTON, S.E.	CRESESMMXXX
CREDIT SUISSE, S.E.	CRESESMMXXX
CREDIT VALENCIA, C.R.C.C.V.	BCOEESMM188
DE LAGE LANDEN INTERNATIONAL B.V., S.E.	LLISESM1XXX
DEUTSCHE BANK A.G., S.E.	DEUTESM1XXX
DEUTSCHE BANK CREDIT, S.A.	DECRESM1XXX
