COD_BE,NOMBRE50,BIC,DESC_VARIACION
1538,"INDUSTRIAL & COMMERCIAL BANK OF CHINA(EUROPE)SA,SE",ICBKESMMXXX,
1000,INSTITUTO DE CREDITO OFICIAL,ICROESMMXXX,
1251,PRIVATBANK IHAG ZURICH,IHZUES21XXX,
1502,"IKB DEUTSCHE INDUSTRIEBANK AG, S.E.",IKBDESM1XXX,
0129,"BBVA BANCO DE FINANCIACION, S.A.",INALESM1XXX,
0113,"BANCO INDUSTRIAL DE BILBAO, S.A.",INBBESM1XXX,
1465,"ING DIRECT, N.V. S.E.",INGDESMMXXX,
0232,"BANCO INVERSIS, S.A.",INVLESMMXXX,
1156,THE BANK OF NEW YORK MELLON,IRVTESM1XXX,
0228,"BANCO EXELBANK, S.A.",IXIUESM1XXX,
1534,"KBL EUROPEAN PRIVATE BANKERS, S.A. S.E.",KBLXESMMXXX,
1457,"DE LAGE LANDEN INTERNATIONAL B.V., S.E.",LLISESM1XXX,
1240,"LONDON FORFAITING A PARIS, S.A.",LOFPESB1XXX,
0106,"LLOYDS TSB BANK PLC, S.E.",LOYDESMMXXX,
0236,"LLOYDS BANK INTERNATIONAL, S.A.",LOYIESMMXXX,
0059,"BANCO DE MADRID, S.A.",MADRESMMXXX,
0162,"HSBC BANK PLC, S.E.",MIDLESMMXXX,
0133,"NUEVO MICRO BANK, S.A.",MIKBESB1XXX,
1506,"MERRILL LYNCH INTERNATIONAL BANK LTD., S.E.",MLCBESM1XXX,
1478,"MERRILL LYNCH INTERNATIONAL BANK LTD., S.E.",MLIBESM1XXX,
6814,"MONTY GLOBAL PAYMENTS, S.A.",MNTYESMMXXX,
0169,"BANCO DE LA NACION ARGENTINA, S.E.",NACNESMMXXX,
1479,"NATIXIS, S.A., S.E.",NATXESMMXXX,
1454,"NEWEDGE GROUP, S.E.",NEWGESM1XXX,
1464,"NEWCOURT FINANCE (FRANCE) S.N.C., S.E.",NFFSESM1XXX,
0086,"BANCO BANIF, S.A.",NORTESMMXXX,
1249,NORWICH AND PETERBOROUGH BUILDING SOCIETY,NPBSES21XXX,
0121,"BANCO OCCIDENTAL, S.A.",OCBAESM1XXX,
0073,"OPEN BANK, S.A.",OPENESMMXXX,
0144,"BNP PARIBAS SECURITIES SERVICES, S.E.",PARBESMXXXX,
1488,"PICTET & CIE (EUROPE), S.A., S.E.",PICTESMMXXX,
0235,"BANCO PICHINCHA ESPAÑA, S.A.",PIESESM1XXX,
1193,PKB PRIVATBANK AG.,PKBSES21XXX,
1221,"PHILIPPINE NATIONAL BANK, S.A.",PNBMESM1XXX,
0216,"TARGOBANK, S.A.",POHIESMMXXX,
0233,"POPULAR BANCA PRIVADA, S.A.",POPIESMMXXX,
0229,"BANCOPOPULAR-E, S.A.",POPLESMMXXX,
0075,"BANCO POPULAR ESPAÑOL, S.A.",POPUESMMXXX,
1459,COOP.CENTR. RAIFFEISEN-BOERENL.(RABOBANK NED.)S.E.,PRABESMMXXX,
1234,BANCO DE LA PROVINCIA DE BUENOS AIRES,PRBAESM1XXX,
1473,"BANQUE PRIVEE EDMOND DE ROTHSCHILD EUROPE, S.E",PRIBESMXXXX,
0132,"BANCO DE PROMOCION DE NEGOCIOS, S.A. (PROMOBANC)",PRNEESM1XXX,
0211,"EBN BANCO DE NEGOCIOS, S.A.",PROAESMMXXX,
0200,"PRIVAT BANK DEGROOF, S.A.",PRVBESB1XXX,
1463,"BANQUE PSA FINANCE, S.E.",PSABESM1XXX,
0072,"BANCO PASTOR, S.A.",PSTRESMMXXX,
1210,BANQUE REGIONALE D'ESCOMPTE ET DE DEPOTS,REDEESM1XXX,
0083,"RENTA 4 BANCO, S.A.",RENBESMMXXX,
1224,RHEINHYP RHEINISCHE HYPOTHEKENBANK A.G.,RHRHESM1XXX,
0036,"SANTANDER INVESTMENT, S.A.",SABNESMMXXX,
8835,"SANTANDER BRASIL, E.F.C., S.A.",SBFCESMMXXX,
1127,STANDARD CHARTERED BANK,SCBLESM1XXX,
0224,"SANTANDER CONSUMER FINANCE, S.A.",SCFBESMMXXX,
1116,BANQUE SCANDINAVE EN SUISSE,SCSIESM1XXX,
1490,"SELF TRADE BANK, S.A.",SELFESMMXXX,
1469,"BANCO SYGMA HISPANIA, S.E.",SHSAESM1XXX,
0108,"SOCIETE GENERALE, S.E.",SOGEESMMXXX,
1242,LANDESBANK BADEN-WÜRTTEMBERG,SOLAESB1XXX,
1241,BANCO SBS-AGRO,STOLESM1XXX,
0486,"BANCO GRUPO CAJATRES, S.A.",TRESES2BXXX,
1491,"TRIODOS BANK, N.V., S.E.",TRIOESMMXXX,
1524,"UBI BANCA INTERNATIONAL, S.A., S.E.",UBIBESMMXXX,
0226,"UBS BANK, S.A",UBSWESMMXXX,
8512,"UNION DE CREDITOS INMOBILIARIOS, S.A., E.F.C.",UCINESMMXXX,
2103,"UNICAJA BANCO, S.A.",UCJAES2MXXX,
1472,"CREDIT AGRICOLE LEASING & FACTORING, S.E.",UCSSESM1XXX,
0227,"UNOE BANK, S.A.",UNOEESM1XXX,
0093,"BANCO DE VALENCIA, S.A.",VALEESVVXXX,
1480,"VOLKSWAGEN BANK GMBH, S.E.",VOWAES21XXX,
1248,WAFABANK,WAFAESM1XXX,
0196,"PORTIGON AG, S.E.",WELAESMMXXX,
